2020.03.12 at 08:46:57 CST INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 248 getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020.03.12 at 08:46:57 CST INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 177 getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@463763, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1f63e24, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1f05988, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@a33c24, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1ade1fc, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1c2e933, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1dd05a, org.springframework.test.context.event.EventPublishingTestExecutionListener@13a8ee1, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@178213b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@103cb56, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1765a2c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@8e8225, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@bf0f36]
2020.03.12 at 08:46:57 CST INFO  org.springframework.boot.StartupInfoLogger 55 logStarting - Starting StockInfoServiceTest on 李鑫 with PID 1840 (started by Administrator in D:\JavaWeb\work-proxy\stock)
2020.03.12 at 08:46:57 CST INFO  org.springframework.boot.SpringApplication 651 logStartupProfileInfo - No active profile set, falling back to default profiles: default
2020.03.12 at 08:47:00 CST INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 171 initialize - Initializing ExecutorService 'applicationTaskExecutor'
2020.03.12 at 08:47:00 CST INFO  org.springframework.boot.StartupInfoLogger 61 logStarted - Started StockInfoServiceTest in 3.712 seconds (JVM running for 6.089)
2020.03.12 at 08:50:47 CST INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 308 buildDefaultMergedContextConfiguration - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lixin.service.StockInfoServiceTest], using SpringBootContextLoader
2020.03.12 at 08:50:47 CST INFO  org.springframework.test.context.support.AbstractContextLoader 264 generateDefaultLocations - Could not detect default resource locations for test class [com.lixin.service.StockInfoServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020.03.12 at 08:50:48 CST INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 248 getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020.03.12 at 08:50:48 CST INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 177 getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@463763, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1f63e24, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1f05988, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@a33c24, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1ade1fc, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1c2e933, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1dd05a, org.springframework.test.context.event.EventPublishingTestExecutionListener@13a8ee1, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@178213b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@103cb56, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1765a2c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@8e8225, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@bf0f36]
2020.03.12 at 08:50:48 CST INFO  org.springframework.boot.StartupInfoLogger 55 logStarting - Starting StockInfoServiceTest on 李鑫 with PID 4236 (started by Administrator in D:\JavaWeb\work-proxy\stock)
2020.03.12 at 08:50:48 CST INFO  org.springframework.boot.SpringApplication 651 logStartupProfileInfo - No active profile set, falling back to default profiles: default
2020.03.12 at 08:50:51 CST INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 171 initialize - Initializing ExecutorService 'applicationTaskExecutor'
2020.03.12 at 08:50:51 CST INFO  org.springframework.boot.StartupInfoLogger 61 logStarted - Started StockInfoServiceTest in 3.507 seconds (JVM running for 5.715)
2020.03.12 at 08:53:46 CST INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 308 buildDefaultMergedContextConfiguration - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lixin.service.StockInfoServiceTest], using SpringBootContextLoader
2020.03.12 at 08:53:46 CST INFO  org.springframework.test.context.support.AbstractContextLoader 264 generateDefaultLocations - Could not detect default resource locations for test class [com.lixin.service.StockInfoServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020.03.12 at 08:53:46 CST INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 248 getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
