,设计总院,603357,专业技术,12,13,25
,安彩高科,600207,燃气供应,45,44,89
,ST云维,600725,燃料加工,29,27,56
,浪潮软件,600756,软件服务,39,38,77
,上海机电,600835,通用设备,23,23,46
,百利科技,603959,专业技术,35,30,65
,ST蓝科,601798,专用设备,30,30,60
,星湖科技,600866,食品加工,19,24,43
,内蒙华电,600863,电热供应,20,23,43
,通葡股份,600365,饮料制造,24,25,49
,通威股份,600438,食品加工,39,29,68
,国新能源,600617,燃气供应,21,32,53
,百利电气,600468,电气机械,28,32,60
,*ST菲达,600526,专用设备,25,31,56
,中国银行,601988,金融服务,8,8,16
,皇马科技,603181,化学制品,22,18,40
,白云山,600332,医药制造,23,20,43
,江河集团,601886,建筑装饰,30,29,59
,工商银行,601398,金融服务,10,7,17
,XD春兰股,600854,电气机械,30,30,60
,太极集团,600129,医药制造,36,36,72
,三峡新材,600293,零售业,31,36,67
,冠城大通,600067,房地产业,23,26,49
,集友股份,603429,印刷,28,16,44
,七一二,603712,电子设备,27,17,44
,*ST中葡,600084,饮料制造,41,40,81
,中新药业,600329,医药制造,27,27,54
,家家悦,603708,零售业,16,12,28
,天目药业,600671,医药制造,31,33,64
,智慧能源,600869,电气机械,24,28,52
,东方时尚,603377,教育,23,19,42
,*ST工新,600701,软件服务,49,54,103
,读者传媒,603999,文体传媒,32,33,65
,天味食品,603317,食品加工,11,5,16
,浪莎股份,600137,纺织服装,34,32,66
,四方股份,601126,电气机械,22,27,49
,金晶科技,600586,非金属,23,23,46
,鼎胜新材,603876,有色金属,13,14,27
,云南城投,600239,房地产业,30,33,63
,*ST厦工,600815,专用设备,33,38,71
,恒瑞医药,600276,医药制造,31,17,48
,弘讯科技,603015,电气机械,39,37,76
,雅戈尔,600177,纺织服装,19,18,37
,思维列控,603508,运输设备,25,24,49
,郴电国际,600969,电热供应,25,30,55
,益丰药房,603939,零售业,36,25,61
,钱江水利,600283,水供应,30,33,63
,长春经开,600215,房地产业,34,29,63
,轻纺城,600790,商务服务,16,19,35
,创业环保,600874,水供应,33,36,69
,*ST山水,600234,电子设备,47,46,93
,华夏银行,600015,金融服务,10,11,21
,健民集团,600976,零售业,30,30,60
,光大银行,601818,金融服务,13,11,24
,铁流股份,603926,汽车制造,11,17,28
,世茂股份,600823,房地产业,22,23,45
,新力金融,600318,其他金融,23,24,47
,海尔智家,600690,电气机械,21,15,36
,万通地产,600246,房地产业,26,26,52
,中国人寿,601628,保险业,16,15,31
,海量数据,603138,软件服务,35,26,61
,耀皮玻璃,600819,非金属,32,32,64
,厦门空港,600897,航空运输,23,21,44
,百联股份,600827,零售业,16,20,36
,天成自控,603085,专用设备,39,38,77
,五洲交通,600368,道路运输,30,28,58
,江山股份,600389,化学制品,29,31,60
,安迪苏,600299,医药制造,27,22,49
,大业股份,603278,金属制品,10,14,24
,S佳通,600182,橡胶塑料,27,23,50
,东珠生态,603359,土木工程,10,12,22
,全筑股份,603030,建筑装饰,42,36,78
,华资实业,600191,食品加工,33,38,71
,豫光金铅,600531,有色金属,32,34,66
,翠微股份,603123,零售业,19,21,40
,交通银行,601328,金融服务,11,10,21
,亚宝药业,600351,医药制造,22,24,46
,铁龙物流,600125,铁路运输,33,32,65
,民生银行,600016,金融服务,5,7,12
,ST运盛,600767,软件服务,38,40,78
,亚邦股份,603188,化学制品,23,32,55
,中牧股份,600195,医药制造,31,27,58
,中铝国际,601068,土木工程,14,14,28
,新宏泰,603016,电气机械,20,17,37
,江苏银行,600919,金融服务,5,8,13
,中国汽研,601965,汽车制造,27,27,54
,北汽蓝谷,600733,汽车制造,21,15,36
,柯利达,603828,建筑装饰,31,34,65
,恒林股份,603661,家具制造,7,12,19
,苏盐井神,603299,食品加工,27,26,53
,上海电力,600021,电热供应,24,26,50
,古越龙山,600059,饮料制造,20,18,38
,顶点软件,603383,软件服务,33,24,57
,志邦家居,603801,家具制造,16,18,34
,欧普照明,603515,电气机械,18,14,32
,华光股份,600475,通用设备,27,29,56
,易见股份,600093,商务服务,44,38,82
,上海物贸,600822,批发业,45,43,88
,密尔克卫,603713,装卸搬运,17,10,27
,汇金通,603577,金属制品,27,27,54
,吉翔股份,603399,有色金属,37,29,66
,天坛生物,600161,医药制造,33,26,59
,山东黄金,600547,金属采选,32,27,59
,复星医药,600196,医药制造,24,19,43
,爱婴室,603214,零售业,14,10,24
,药明康德,603259,科研试验,18,8,26
,移远通信,603236,电子设备,9,2,11
,卓郎智能,600545,专用设备,31,34,65
,建设银行,601939,金融服务,11,7,18
,川仪股份,603100,仪器仪表,25,25,50
,星光农机,603789,专用设备,37,33,70
,江苏有线,600959,信号传输,32,36,68
,ST天成,600112,电气机械,41,51,92
,祥源文化,600576,文体传媒,39,40,79
,新湖中宝,600208,房地产业,21,26,47
,际华集团,601718,纺织服装,34,37,71
,ST创兴,600193,建筑装饰,33,37,70
,东方银星,600753,批发业,28,24,52
,江南高纤,600527,化学纤维,29,32,61
,湘电股份,600416,通用设备,35,35,70
,亚泰集团,600881,非金属,20,24,44
,广电电气,601616,电气机械,25,29,54
,宁波海运,600798,水上运输,33,33,66
,诚邦股份,603316,土木工程,18,17,35
,中国石化,600028,石油开采,11,12,23
,海油工程,600583,开采辅助,22,21,43
,鲁商发展,600223,房地产业,34,31,65
,上海银行,601229,金融服务,4,8,12
,农业银行,601288,金融服务,9,8,17
,山东高速,600350,道路运输,17,16,33
,中国石油,601857,石油开采,8,13,21
,大有能源,600403,煤炭采选,26,26,52
,宇通客车,600066,汽车制造,15,17,32
,*ST中孚,600595,有色金属,32,38,70
,白云电器,603861,电气机械,24,27,51
,舍得酒业,600702,饮料制造,32,23,55
,旗滨集团,601636,非金属,39,34,73
,上港集团,600018,水上运输,18,20,38
,上汽集团,600104,汽车制造,13,12,25
,新钢股份,600782,黑色金属,39,34,73
,宁夏建材,600449,非金属,31,28,59
,中国中铁,601390,土木工程,21,22,43
,马钢股份,600808,黑色金属,24,24,48
,华立股份,603038,其他制造,12,18,30
,秦安股份,603758,汽车制造,13,20,33
,*ST天雁,600698,汽车制造,47,47,94
,新潮能源,600777,综合,24,24,48
,四通股份,603838,非金属,23,22,45
,大秦铁路,601006,铁路运输,12,12,24
,太化股份,600281,燃料加工,35,36,71
,中央商场,600280,零售业,34,38,72
,江苏租赁,600901,金融服务,9,11,20
,*ST大控,600747,批发业,23,43,66
,*ST金泰,600385,医药制造,36,36,72
,宝丰能源,600989,化学制品,1,5,6
,我乐家居,603326,家具制造,15,15,30
,惠发股份,603536,食品加工,25,17,42
,商业城,600306,零售业,38,39,77
,共进股份,603118,电子设备,41,38,79
,荣泰健康,603579,专用设备,21,20,41
,安井食品,603345,食品加工,24,12,36
,马应龙,600993,批发业,26,23,49
,荣晟环保,603165,纸制品,25,23,48
,三孚股份,603938,化学制品,19,17,36
,首旅酒店,600258,住宿业,27,23,50
,永新光学,603297,仪器仪表,13,10,23
,凯乐科技,600260,电子设备,45,36,81
,亚翔集成,603929,建筑安装,30,24,54
,泰禾光电,603656,专用设备,15,17,32
,一汽富维,600742,汽车制造,23,23,46
,今创集团,603680,运输设备,5,13,18
,光大证券,601788,金融服务,22,27,49
,福成股份,600965,畜牧业,25,25,50
,水星家纺,603365,纺织业,11,14,25
,宁波中百,600857,零售业,29,30,59
,嘉化能源,600273,化学制品,26,24,50
,龙宇燃油,603003,批发业,34,38,72
,宝钛股份,600456,有色金属,38,30,68
,首开股份,600376,房地产业,27,26,53
,通化东宝,600867,医药制造,26,24,50
,中国中车,601766,运输设备,19,23,42
,中国国旅,601888,商务服务,27,14,41
,绿地控股,600606,房地产业,23,30,53
,广信股份,603599,化学制品,39,37,76
,辽宁成大,600739,批发业,16,17,33
,人民同泰,600829,批发业,27,29,56
,申达股份,600626,批发业,30,35,65
,小康股份,601127,汽车制造,18,16,34
,汇通能源,600605,批发业,32,30,62
,金辰股份,603396,专用设备,18,21,39
,方盛制药,603998,医药制造,39,39,78
,至纯科技,603690,专用设备,41,24,65
,宝钢股份,600019,黑色金属,20,21,41
,浙江东方,600120,其他金融,26,29,55
,国发股份,600538,批发业,36,33,69
,三元股份,600429,食品加工,16,20,36
,立霸股份,603519,电气机械,44,32,76
,养元饮品,603156,饮料制造,6,13,19
,中国平安,601318,保险业,20,11,31
,创力集团,603012,专用设备,36,33,69
,海天味业,603288,食品加工,23,9,32
,澄星股份,600078,化学制品,30,32,62
,钱江生化,600796,化学制品,32,31,63
,杭州解百,600814,零售业,24,28,52
,尚纬股份,603333,电气机械,28,24,52
,华钰矿业,601020,金属采选,27,30,57
,中国电建,601669,土木工程,20,24,44
,润达医疗,603108,批发业,38,30,68
,格力地产,600185,房地产业,23,28,51
,陆家嘴,600663,房地产业,21,23,44
,益佰制药,600594,医药制造,24,33,57
,长城科技,603897,电气机械,7,10,17
,ST沪科,600608,黑色金属,31,33,64
,黄山旅游,600054,公共设施,17,16,33
,新赛股份,600540,农业,37,39,76
,大豪科技,603025,电子设备,45,43,88
,丹化科技,600844,化学制品,35,33,68
,ST椰岛,600238,饮料制造,33,36,69
,澳柯玛,600336,电气机械,31,29,60
,南京医药,600713,零售业,22,25,47
,会稽山,601579,饮料制造,16,16,32
,浙能电力,600023,电热供应,14,18,32
,健盛集团,603558,纺织业,31,29,60
,诺邦股份,603238,纺织业,16,15,31
,阳光照明,600261,电气机械,19,22,41
,卧龙地产,600173,房地产业,36,34,70
,继峰股份,603997,汽车制造,33,28,61
,中源协和,600645,科研试验,23,29,52
,清源股份,603628,其他制造,26,24,50
,中炬高新,600872,食品加工,28,14,42
,四川成渝,601107,道路运输,22,21,43
,外高桥,600648,批发业,25,28,53
,青松建化,600425,非金属,37,34,71
,红蜻蜓,603116,毛皮鞋类,18,26,44
,福建水泥,600802,非金属,39,34,73
,ST宏盛,600817,房地产业,14,17,31
,德宏股份,603701,电气机械,35,37,72
,中源家居,603709,家具制造,13,13,26
,曲美家居,603818,家具制造,38,37,75
,多伦科技,603528,电子设备,30,30,60
,宁波富达,600724,房地产业,28,28,56
,北矿科技,600980,电子设备,38,39,77
,海峡环保,603817,水供应,18,19,37
,楚天高速,600035,道路运输,21,26,47
,四川路桥,600039,土木工程,16,19,35
,瑞贝卡,600439,毛皮鞋类,28,27,55
,深高速,600548,道路运输,18,13,31
,ST南化,600301,化学制品,30,29,59
,长江电力,600900,电热供应,9,3,12
,首商股份,600723,零售业,19,20,39
,中国神华,601088,煤炭采选,15,14,29
,栖霞建设,600533,房地产业,22,22,44
,大西洋,600558,金属制品,26,32,58
,隧道股份,600820,土木工程,23,24,47
,尖峰集团,600668,非金属,31,24,55
,ST厦华,600870,电子设备,27,31,58
,豫园股份,600655,零售业,21,25,46
,中国中冶,601618,土木工程,19,22,41
,上海环境,601200,生态环境,10,16,26
,东方创业,600278,批发业,40,39,79
,南京银行,601009,金融服务,19,13,32
,康辰药业,603590,医药制造,7,7,14
,天域生态,603717,土木工程,20,23,43
,大参林,603233,零售业,20,13,33
,锦江股份,600754,住宿业,27,24,51
,塞力斯,603716,批发业,25,25,50
,浙江广厦,600052,房地产业,29,30,59
,东软集团,600718,软件服务,32,35,67
,大商股份,600694,零售业,21,22,43
,同仁堂,600085,医药制造,20,16,36
,长城电工,600192,电气机械,31,34,65
,东方电缆,603606,电气机械,34,30,64
,爱普股份,603020,食品加工,27,29,56
,上海电气,601727,通用设备,19,24,43
,圣济堂,600227,医药制造,31,32,63
,西部黄金,601069,金属采选,35,31,66
,中材节能,603126,专业技术,37,42,79
,恒顺醋业,600305,食品加工,31,24,55
,太平鸟,603877,纺织服装,11,17,28
,千金药业,600479,医药制造,22,23,45
,飞科电器,603868,电气机械,18,15,33
,上工申贝,600843,专用设备,30,32,62
,华菱星马,600375,汽车制造,24,28,52
,华远地产,600743,房地产业,29,30,59
,海容冷链,603187,通用设备,5,7,12
,东尼电子,603595,电子设备,25,16,41
,银都股份,603277,通用设备,8,12,20
,武汉控股,600168,水供应,14,20,34
,至正股份,603991,橡胶塑料,17,17,34
,万盛股份,603010,化学制品,33,31,64
,江苏阳光,600220,纺织业,26,28,54
,ST狮头,600539,非金属,26,23,49
,赣粤高速,600269,道路运输,17,16,33
,新通联,603022,纸制品,53,48,101
,永鼎股份,600105,电气机械,41,41,82
,安徽水利,600502,土木工程,23,26,49
,*ST游久,600652,互联网,32,44,76
,天鹅股份,603029,专用设备,29,28,57
,潞安环能,601699,煤炭采选,27,27,54
,广州发展,600098,电热供应,22,23,45
,海汽集团,603069,道路运输,33,26,59
,中国交建,601800,土木工程,21,25,46
,中视传媒,600088,文体传媒,33,32,65
,青海华鼎,600243,通用设备,33,35,68
,工业富联,601138,电子设备,10,11,21
,派思股份,603318,专用设备,48,35,83
,银龙股份,603969,金属制品,42,46,88
,金徽酒,603919,饮料制造,18,15,33
,光大嘉宝,600622,房地产业,39,37,76
,祥龙电业,600769,土木工程,35,35,70
,光明地产,600708,房地产业,29,33,62
,东睦股份,600114,金属制品,33,32,65
,招商轮船,601872,水上运输,32,26,58
,上海家化,600315,化学制品,12,13,25
,福田汽车,600166,汽车制造,23,26,49
,石英股份,603688,非金属,47,40,87
,华泰证券,601688,金融服务,24,24,48
,顾家家居,603816,家具制造,20,14,34
,奥康国际,603001,毛皮鞋类,25,27,52
,宏昌电子,603002,化学制品,29,27,56
,兴业银行,601166,金融服务,12,8,20
,西部矿业,601168,金属采选,21,21,42
,高能环境,603588,生态环境,29,31,60
,利群股份,601366,零售业,9,15,24
,海航控股,600221,航空运输,11,16,27
,华铁科技,603300,租赁业,53,46,99
,振静股份,603477,毛皮鞋类,25,21,46
,ST新梅,600732,房地产业,28,25,53
,江南水务,601199,水供应,21,23,44
,国机通用,600444,通用设备,30,29,59
,皖通高速,600012,道路运输,33,29,62
,迪马股份,600565,房地产业,20,22,42
,中国出版,601949,文体传媒,17,17,34
,华联综超,600361,零售业,30,31,61
,上海能源,600508,煤炭采选,16,15,31
,重庆水务,601158,水供应,13,17,30
,时代万恒,600241,电气机械,33,34,67
,北京银行,601169,金融服务,9,13,22
,茶花股份,603615,橡胶塑料,18,19,37
,中信证券,600030,金融服务,22,23,45
,中国西电,601179,电气机械,17,20,37
,惠而浦,600983,电气机械,15,22,37
,金枫酒业,600616,饮料制造,29,30,59
,振华重工,600320,专用设备,16,18,34
,东百集团,600693,零售业,29,25,54
,ST正源,600321,木材加工,40,39,79
,ST明科,600091,化学制品,27,28,55
,中远海特,600428,水上运输,29,30,59
,*ST华源,600726,电热供应,28,33,61
,*ST金山,600396,电热供应,21,30,51
,来伊份,603777,零售业,24,25,49
,一拖股份,601038,专用设备,38,39,77
,牧高笛,603908,纺织服装,18,18,36
,浦东金桥,600639,房地产业,25,31,56
,春秋航空,601021,航空运输,20,20,40
,三一重工,600031,专用设备,26,18,44
,ST坊展,600149,综合,41,50,91
,淮北矿业,600985,煤炭采选,34,32,66
,西宁特钢,600117,黑色金属,31,30,61
,大晟文化,600892,软件服务,40,36,76
,江中药业,600750,医药制造,21,23,44
,中海油服,601808,开采辅助,26,24,50
,首创股份,600008,水供应,26,31,57
,江苏吴中,600200,综合,36,37,73
,*ST莲花,600186,食品加工,25,30,55
,天房发展,600322,房地产业,28,26,54
,京能电力,600578,电热供应,12,17,29
,亿晶光电,600537,电气机械,27,31,58
,韦尔股份,603501,电子设备,18,8,26
,宝信软件,600845,软件服务,41,34,75
,通策医疗,600763,卫生,28,17,45
,宁波热电,600982,电热供应,17,24,41
,文峰股份,601010,零售业,28,34,62
,广深铁路,601333,铁路运输,21,20,41
,山鹰纸业,600567,纸制品,21,17,38
,吉华集团,603980,化学制品,10,17,27
,晋亿实业,601002,通用设备,27,31,58
,京运通,601908,专用设备,28,31,59
,南钢股份,600282,黑色金属,34,30,64
,龙江交通,601188,道路运输,26,27,53
,拉芳家化,603630,化学制品,15,21,36
,杉杉股份,600884,电气机械,37,32,69
,长白山,603099,公共设施,32,33,65
,江西长运,600561,道路运输,18,20,38
,上海石化,600688,燃料加工,20,19,39
,南方传媒,601900,文体传媒,14,15,29
,君正集团,601216,化学制品,29,34,63
,绿城水务,601368,水供应,23,24,47
,中路股份,600818,运输设备,33,40,73
,韩建河山,603616,非金属,52,51,103
,中国太保,601601,保险业,16,14,30
,海螺水泥,600585,非金属,23,12,35
,中煤能源,601898,煤炭采选,20,18,38
,音飞储存,603066,仓储业,42,41,83
,永吉股份,603058,印刷,26,27,53
,大同煤业,601001,煤炭采选,20,25,45
,起步股份,603557,毛皮鞋类,17,20,37
,上海沪工,603131,通用设备,33,26,59
,中信银行,601998,金融服务,14,14,28
,中国核建,601611,土木工程,19,18,37
,昊华能源,601101,煤炭采选,20,22,42
,正裕工业,603089,汽车制造,21,20,41
,中公高科,603860,专业技术,11,11,22
,中国建筑,601668,土木工程,21,18,39
,宏达矿业,600532,金属采选,35,40,75
,麦迪科技,603990,软件服务,23,14,37
,威帝股份,603023,电子设备,46,46,92
,宁波高发,603788,汽车制造,36,33,69
,上实发展,600748,房地产业,27,30,57
,常青股份,603768,汽车制造,8,14,22
,杭州银行,600926,金融服务,6,8,14
,杭钢股份,600126,黑色金属,29,28,57
,康欣新材,600076,木材加工,31,33,64
,上海机场,600009,航空运输,24,12,36
,ST岩石,600696,房地产业,41,36,77
,*ST九有,600462,商务服务,31,37,68
,恒立液压,601100,专用设备,36,18,54
,广汽集团,601238,汽车制造,26,20,46
,ST景谷,600265,林业,33,22,55
,华电重工,601226,专业技术,16,25,41
,京投发展,600683,房地产业,28,32,60
,川投能源,600674,电热供应,12,12,24
,常熟汽饰,603035,汽车制造,13,13,26
,鹏博士,600804,互联网,26,36,62
,中国铁建,601186,土木工程,23,24,47
,建设机械,600984,专用设备,27,23,50
,皖天然气,603689,燃气供应,15,15,30
,诚意药业,603811,医药制造,21,17,38
,兰花科创,600123,煤炭采选,23,25,48
,维力医疗,603309,专用设备,37,37,74
,广安爱众,600979,电热供应,19,21,40
,宁沪高速,600377,道路运输,13,7,20
,华仪电气,600290,电气机械,37,41,78
,珍宝岛,603567,医药制造,27,27,54
,科林电气,603050,电气机械,24,24,48
,玉龙股份,601028,金属制品,32,34,66
,康普顿,603798,燃料加工,25,26,51
,华达科技,603358,汽车制造,11,14,25
,小商品城,600415,商务服务,19,26,45
,国旅联合,600358,互联网,39,41,80
,石大胜华,603026,化学制品,55,41,96
,XD白云机,600004,航空运输,28,19,47
,华润双鹤,600062,医药制造,17,19,36
,国机汽车,600335,批发业,20,19,39
,国电电力,600795,电热供应,13,15,28
,上海医药,601607,零售业,17,16,33
,广州港,601228,水上运输,13,12,25
,雪峰科技,603227,化学制品,41,38,79
,信捷电气,603416,仪器仪表,21,17,38
,菲林格尔,603226,木材加工,16,15,31
,太原重工,600169,专用设备,20,27,47
,醋化股份,603968,化学制品,33,33,66
,哈森股份,603958,毛皮鞋类,22,28,50
